removed_from,removed_gene,outcome,beta,se,ci_low,ci_high,p,n,patients
gly,GOT1,Hypoxia,0.6668901099738741,0.10020619140272556,0.47048958379660477,0.8632906361511434,2.82956059058931e-11,136,20
gly,GUSB,Inflamm,0.3585699105470238,0.11832979838584276,0.12664776741288616,0.5904920536811614,0.002443442820685721,136,20
gly,GUSB,Hypoxia,0.6365195761221469,0.10345166557539838,0.433758037453684,0.8392811147906099,7.611672009088956e-10,136,20
gly,HAX1,Inflamm,0.38155549084934604,0.11354974549057022,0.159002079234139,0.6041089024645531,0.0007787207488060549,136,20
gly,HAX1,Hypoxia,0.6586170736864035,0.09845240352416187,0.465653908587642,0.8515802387851651,2.2362810035788057e-11,136,20
gly,HS2ST1,Inflamm,0.3657211818584911,0.11576459255771127,0.13882674976042345,0.5926156139565588,0.0015821375778149146,136,20
gly,HS2ST1,Hypoxia,0.6461864585953103,0.10236294113020153,0.44555878062852156,0.8468141365620991,2.742101240127877e-10,136,20
gly,IDUA,Inflamm,0.37051876495412894,0.11924711537704018,0.13679871355483772,0.6042388163534201,0.001889000381122958,136,20
gly,IDUA,Hypoxia,0.6314167142898536,0.10341347900277147,0.4287300199284324,0.8341034086512747,1.0231989602646114e-09,136,20
gly,IL13RA1,Inflamm,0.36921511911622007,0.116295388379696,0.141280346323918,0.5971498919085221,0.001499374971388133,136,20
gly,IL13RA1,Hypoxia,0.649233719351747,0.1019623090528018,0.44939126582771316,0.8490761728757809,1.9227267793087043e-10,136,20
gly,KIF2A,Inflamm,0.3806391299971028,0.11442013246697771,0.15637979125552437,0.6048984687386812,0.000878873369325489,136,20
gly,KIF2A,Hypoxia,0.6530067623634672,0.09906445412891073,0.45884400012268195,0.8471695246042525,4.3471210903754745e-11,136,20
gly,LHPP,Inflamm,0.3670705182329759,0.11505554310877732,0.1415657975180767,0.592575238947875,0.0014208748086747421,136,20
gly,LHPP,Hypoxia,0.6351606415921538,0.10400885148411375,0.4313070386099155,0.8390142445743921,1.016522311796556e-09,136,20
gly,ME1,Inflamm,0.36836329091042475,0.11647924729479545,0.14006816126629115,0.5966584205545583,0.0015643147633055987,136,20
gly,ME1,Hypoxia,0.644598919860281,0.09768376611989779,0.4531422563910473,0.8360555833295146,4.144050596671545e-11,136,20
gly,ME2,Inflamm,0.36362295912872156,0.11778987695788053,0.13275904254787135,0.5944868757095718,0.0020215521029038415,136,20
gly,ME2,Hypoxia,0.6447491718800775,0.10284523335965172,0.44317621851354283,0.8463221252466122,3.630928198210234e-10,136,20
gly,MED24,Inflamm,0.3760482422602828,0.12176818541507557,0.13738698438393915,0.6147095001366264,0.0020135212870344902,136,20
gly,MED24,Hypoxia,0.6596945294095397,0.10382925065106036,0.4561929375916794,0.8631961212274,2.1026744306173522e-10,136,20
gly,MERTK,Inflamm,0.37621096231319284,0.11432335692827916,0.15214130014204802,0.6002806244843377,0.0009991639772720506,136,20
gly,MERTK,Hypoxia,0.6607349477709217,0.0987791851406872,0.4671313024729607,0.8543385930688827,2.2468552691920745e-11,136,20
gly,MPI,Inflamm,0.37885690933606764,0.117592874071901,0.14837911131658774,0.6093347073555475,0.0012740243715658366,136,20
gly,MPI,Hypoxia,0.6506466455309013,0.10398133091929908,0.446846981864534,0.8544463091972687,3.9159655253545365e-10,136,20
gly,NANP,Inflamm,0.3619722795785828,0.11760665875720017,0.13146746407237833,0.5924770950847873,0.002085199145074238,136,20
gly,NANP,Hypoxia,0.6415210904214296,0.10170361662117211,0.44218566474646304,0.8408565160963961,2.831191907982723e-10,136,20
gly,NASP,Inflamm,0.37402192623979713,0.11361271434973962,0.1513450979284705,0.5966987545511238,0.0009944999778414283,136,20
gly,NASP,Hypoxia,0.6563888458969269,0.09945193893939187,0.4614666273830422,0.8513110644108116,4.109891335635205e-11,136,20
gly,NDUFV3,Inflamm,0.3886919960745807,0.11447158241651317,0.16433181728490637,0.613052174864255,0.0006849520289760656,136,20
gly,NDUFV3,Hypoxia,0.6525247841620293,0.09960838584228579,0.45729593535297974,0.8477536329710789,5.719054331923159e-11,136,20
gly,NOL3,Inflamm,0.37595439924733676,0.11741638979998374,0.14582250404465247,0.606086294450021,0.0013652898156190306,136,20
gly,NOL3,Hypoxia,0.6451847205827834,0.10173950125069796,0.4457789623263476,0.8445904788392192,2.2748542733257576e-10,136,20
gly,NSDHL,Inflamm,0.3742531875441465,0.11472035981060685,0.14940541402188082,0.5991009610664122,0.001105088681388249,136,20
gly,NSDHL,Hypoxia,0.6491770897173936,0.10088917747621612,0.4514379354341404,0.8469162440006468,1.2383455540024036e-10,136,20
gly,NT5E,Inflamm,0.35289490404525503,0.12650973805137897,0.10494037377095583,0.6008494343195543,0.005279466437850152,136,20
gly,NT5E,Hypoxia,0.6264491823774485,0.1045558449369953,0.42152349192778316,0.8313748728271139,2.078796265651699e-09,136,20
gly,PAXIP1,Inflamm,0.36436276315987925,0.11781297672081535,0.13345357187562537,0.5952719544441332,0.00198329954031382,136,20
gly,PAXIP1,Hypoxia,0.6401911543680079,0.10077282787506593,0.4426800411126246,0.8377022676233912,2.1140961656143411e-10,136,20
gly,PC,Inflamm,0.3825728321795939,0.11636017011015544,0.15451108952873516,0.6106345748304527,0.0010096163239847634,136,20
gly,PC,Hypoxia,0.6533225897567918,0.1033769128868519,0.4507075636656275,0.8559376158479561,2.618827660460233e-10,136,20
gly,PGAM1,Inflamm,0.35789858094853644,0.12024029098858635,0.12223194112029118,0.5935652207767816,0.0029153255369469026,136,20
gly,PGAM1,Hypoxia,0.6294353587616532,0.10327273949192446,0.427024508772694,0.8318462087506124,1.0951689569809733e-09,136,20
gly,PGLS,Inflamm,0.3699991668335946,0.11574277025285712,0.1431475056671007,0.5968508280000885,0.0013899171395837517,136,20
gly,PGLS,Hypoxia,0.632236505274034,0.10000766092897137,0.43622509167515655,0.8282479188729114,2.583987842633046e-10,136,20
gly,PHKA2,Inflamm,0.378717705725079,0.11435122676112526,0.1545934196853007,0.6028419917648573,0.000926708099806429,136,20
gly,PHKA2,Hypoxia,0.653221402924344,0.09815252550983798,0.4608459879334127,0.8455968179152754,2.8297945512338838e-11,136,20
gly,PKM,Inflamm,0.3672657093756747,0.12028619901917297,0.13150909146087852,0.6030223272904709,0.002263655158476919,136,20
gly,PKM,Hypoxia,0.6418995214535534,0.1021256978540758,0.4417368317635454,0.8420622111435615,3.270382238002114e-10,136,20
gly,PKP2,Inflamm,0.38295930563223757,0.11575646901504963,0.15608079538521358,0.6098378158792616,0.0009385789142140356,136,20
gly,PKP2,Hypoxia,0.6504867672469804,0.09953765834151619,0.4553965417921558,0.8455769927018051,6.35746659764659e-11,136,20
gly,PLOD1,Inflamm,0.3798316792456393,0.11723589376991769,0.15005354976123694,0.6096098087300417,0.001195748198439926,136,20
gly,PLOD1,Hypoxia,0.650029668394764,0.10265274198200393,0.44883399119575346,0.8512253455937744,2.4150718087806145e-10,136,20
gly,PLOD2,Inflamm,0.3805587380068677,0.1160601918803529,0.153084941882568,0.6080325341311674,0.0010418400520440234,136,20
gly,PLOD2,Hypoxia,0.6452205875705059,0.10058835536761572,0.4480710337858629,0.842370141355149,1.4131730493914985e-10,136,20
